Date,Lloyds_Close
2017-01-05,64.65
2017-01-06,65.9
2017-01-09,65.22
2017-01-10,66.58
2017-01-11,66.34
2017-01-12,66.03
2017-01-13,66.04
2017-01-16,64.69
2017-01-17,65.45
2017-01-18,65.19
2017-01-19,64.74
2017-01-20,65.07
2017-01-23,64.4
2017-01-24,64.2
2017-01-25,65.54
2017-01-26,66.17
2017-01-27,65.87
2017-01-30,64.91
2017-01-31,64.93
2017-02-01,65.42
2017-02-02,64.89
2017-02-03,65.85
2017-02-06,66.06
2017-02-07,66.13
2017-02-08,65.58
2017-02-09,66.14
2017-02-10,65.64
2017-02-13,65.85
2017-02-14,66.49
2017-02-15,67.47
2017-02-16,67.25
2017-02-17,66.86
2017-02-20,67.35
2017-02-21,66.77
2017-02-22,69.7
2017-02-23,69.55
2017-02-24,69.28
2017-02-27,69.2
2017-02-28,68.67
2017-03-01,68.84
2017-03-02,68.91
2017-03-03,68.42
2017-03-06,67.51
2017-03-07,67.5
2017-03-08,68.31
2017-03-09,68.55
2017-03-10,68.76
2017-03-13,68.54
2017-03-14,67.85
2017-03-15,68.23
2017-03-16,69.58
2017-03-17,69.34
2017-03-20,69.3
2017-03-21,68.74
2017-03-22,67.63
2017-03-23,68.43
2017-03-24,68.05
2017-03-27,66.95
2017-03-28,66.79
2017-03-29,66.54
2017-03-30,66.65
2017-03-31,66.32
2017-04-03,66.03
2017-04-04,65.51
2017-04-05,65.49
2017-04-06,63.59
2017-04-07,63.02
2017-04-10,63.05
2017-04-11,62.96
2017-04-12,62.54
2017-04-13,62.71
2017-04-18,62.2
2017-04-19,63.66
2017-04-20,64.06
2017-04-21,64.37
2017-04-24,66.24
2017-04-25,66.95
2017-04-26,67.41
2017-04-27,68.97
2017-04-28,69.2
2017-05-02,69.2
2017-05-03,69.06
2017-05-04,70.0
2017-05-05,70.0
2017-05-08,69.45
2017-05-09,69.02
2017-05-10,69.88
2017-05-11,69.66
2017-05-12,68.7
2017-05-15,69.39
2017-05-16,70.15
2017-05-17,71.52
2017-05-18,71.28
2017-05-19,71.78
2017-05-22,71.79
2017-05-23,72.16
2017-05-24,72.57
2017-05-25,73.1
2017-05-26,71.74
2017-05-30,71.12
2017-05-31,70.59
2017-06-01,70.16
2017-06-02,69.35
2017-06-05,69.39
2017-06-06,68.94
2017-06-07,70.08
2017-06-08,70.72
2017-06-09,70.01
2017-06-12,69.1
2017-06-13,68.59
2017-06-14,67.9
2017-06-15,67.99
2017-06-16,68.54
2017-06-19,68.7
2017-06-20,67.01
2017-06-21,67.17
2017-06-22,67.0
2017-06-23,66.68
2017-06-26,66.5
2017-06-27,66.72
2017-06-28,66.6
2017-06-29,67.15
2017-06-30,66.15
2017-07-03,66.71
2017-07-04,66.32
2017-07-05,65.69
2017-07-06,66.68
2017-07-07,66.53
2017-07-10,66.56
2017-07-11,65.55
2017-07-12,66.04
2017-07-13,67.4
2017-07-14,66.94
2017-07-17,67.13
2017-07-18,66.9
